ACRNM	ACRNM
ADJ	ADJ
ADV	ADV
ALFS	AUX
ART	ART
BACKSLASH	PU
CARD	CARD
CC	C
CCAD	C
CCNEG	C
CM	PU
CODE	CODE
COLON	PU
CQUE	AUX
CSUBF	C
CSUBI	C
CSUBX	C
DASH	PU
DM	DM
DOTS	PU
FS	PU
INT	INT
LP	PU
NC	NC
NEG	NEG
NMEA	NC
NMON	NC
NP	NP
ORD	ORD
PAL	AUX
PDEL	AUX
PE	PE
PERCT	PU
PPC	PP
PPO	PP
PPX	PP
PREP	PREP
PREP/DEL	PREP
QT	PU
QU	AUX
REL	PP
RP	PU
SE	AUX
SEMICOLON	PU
SLASH	PU
SYM	PU
UMMX	AUX
VCLIfin	VC
VCLIger	VC
VCLIinf	VC
VEadj	VE
VEfin	VE
VEger	VE
VEinf	VE
VHadj	VH
VHfin	VH
VHger	VH
VHinf	VH
VLadj	VL
VLfin	VL
VLger	VL
VLinf	VL
VMadj	VM
VMfin	VM
VMger	VM
VMinf	VM
VSadj	VS
VSfin	VS
VSger	VS
VSinf	VS
